Source,Target,Weight,Type
Cast_EV_comisario,Hurt_EV_miser1,25,undirected
Cast_EV_comisario,Hurt_EV_miser2,18,undirected
Cast_EV_comisario,Quev_EV_niño,35,undirected
Cerv_EP_cueva,Barr_EP_triunfo,3,undirected
Cerv_EP_cueva,Cerv_EP_guarda,60,undirected
Cerv_EP_cueva,Cerv_EP_juez,17,undirected
Cerv_EP_cueva,Cerv_EP_retablo,18,undirected
Cerv_EP_cueva,Cerv_EP_viejo,36,undirected
Cerv_EP_cueva,Cerv_EP_vizcaino,37,undirected
Cerv_EP_cueva,Cerv_EV_eleccion,19,undirected
Cerv_EP_cueva,Cerv_EV_rufian,14,undirected
Cerv_EP_cueva,Dub_EV_romances_R,4,undirected
Cerv_EP_cueva,Quev_EP_vieja,23,undirected
Cerv_EP_cueva,Quin_EV_sacristanes,4,undirected
Cerv_EP_cueva,Salas_EP_buscaoficios,2,undirected
Cerv_EP_cueva,Salas_EV_comisario,1,undirected
Cerv_EP_cueva,Vel_EV_atarantados,2,undirected
Cerv_EP_guarda,Av_EV_mortero,28,undirected
Cerv_EP_guarda,Av_EV_quijote,24,undirected
Cerv_EP_guarda,Cerv_EP_cueva,60,undirected
Cerv_EP_guarda,Cerv_EP_juez,48,undirected
Cerv_EP_guarda,Cerv_EP_vizcaino,27,undirected
Cerv_EP_guarda,Cerv_EV_rufian,18,undirected
Cerv_EP_guarda,Quin_EV_borracho,1,undirected
Cerv_EP_guarda,Salas_EP_buscaoficios,21,undirected
Cerv_EP_guarda,Salas_EV_caprichoso,1,undirected
Cerv_EP_juez,Barr_EP_triunfo,14,undirected
Cerv_EP_juez,Cerv_EP_cueva,17,undirected
Cerv_EP_juez,Cerv_EP_guarda,48,undirected
Cerv_EP_juez,Cerv_EP_retablo,4,undirected
Cerv_EP_juez,Cerv_EP_viejo,23,undirected
Cerv_EP_juez,Quev_EV_marido,19,undirected
Cerv_EP_juez,Salas_EP_buscaoficios,12,undirected
Cerv_EP_juez,Salas_EP_mirones,22,undirected
Cerv_EP_retablo,Av_EV_quijote,31,undirected
Cerv_EP_retablo,Belm_EV_rana,6,undirected
Cerv_EP_retablo,Cerv_EP_cueva,18,undirected
Cerv_EP_retablo,Cerv_EP_juez,4,undirected
Cerv_EP_retablo,Cerv_EV_eleccion,60,undirected
Cerv_EP_retablo,Cerv_EV_rufian,1,undirected
Cerv_EP_retablo,Quev_EP_vieja,6,undirected
Cerv_EP_retablo,Quev_EV_marido,2,undirected
Cerv_EP_retablo,Quev_EV_niño,3,undirected
Cerv_EP_retablo,Salas_EP_buscaoficios,4,undirected
Cerv_EP_retablo,Salas_EP_mirones,6,undirected
Cerv_EP_retablo,Vel_EV_burla,5,undirected
Cerv_EP_viejo,Barr_EP_triunfo,9,undirected
Cerv_EP_viejo,Cerv_EP_cueva,36,undirected
Cerv_EP_viejo,Cerv_EP_juez,23,undirected
Cerv_EP_viejo,Cerv_EP_vizcaino,50,undirected
Cerv_EP_viejo,Quev_EP_vieja,1,undirected
Cerv_EP_viejo,Quev_EV_marido,2,undirected
Cerv_EP_vizcaino,Av_EV_mortero,10,undirected
Cerv_EP_vizcaino,Barr_EP_triunfo,30,undirected
Cerv_EP_vizcaino,Cerv_EP_cueva,37,undirected
Cerv_EP_vizcaino,Cerv_EP_guarda,27,undirected
Cerv_EP_vizcaino,Cerv_EP_viejo,50,undirected
Cerv_EP_vizcaino,Cerv_EV_eleccion,1,undirected
Cerv_EP_vizcaino,Quev_EP_vieja,20,undirected
Cerv_EV_eleccion,Barr_EP_triunfo,1,undirected
Cerv_EV_eleccion,Belm_EV_rana,15,undirected
Cerv_EV_eleccion,Belm_EV_sierra,6,undirected
Cerv_EV_eleccion,Cerv_EP_cueva,19,undirected
Cerv_EV_eleccion,Cerv_EP_retablo,60,undirected
Cerv_EV_eleccion,Cerv_EP_vizcaino,1,undirected
Cerv_EV_eleccion,Cerv_EV_rufian,36,undirected
Cerv_EV_eleccion,Dub_EV_romances_R,2,undirected
Cerv_EV_eleccion,Hurt_EV_getafe,10,undirected
Cerv_EV_eleccion,Quev_EV_marido,7,undirected
Cerv_EV_eleccion,Vel_EV_antonia,2,undirected
Cerv_EV_eleccion,Vel_EV_atarantados,1,undirected
Cerv_EV_eleccion,Vel_EV_burla,22,undirected
Cerv_EV_rufian,Av_EV_mortero,9,undirected
Cerv_EV_rufian,Cast_EV_barbador,26,undirected
Cerv_EV_rufian,Cerv_EP_cueva,14,undirected
Cerv_EV_rufian,Cerv_EP_guarda,18,undirected
Cerv_EV_rufian,Cerv_EP_retablo,1,undirected
Cerv_EV_rufian,Cerv_EV_eleccion,36,undirected
Cerv_EV_rufian,Hurt_EV_miser1,8,undirected
Cerv_EV_rufian,Quev_EV_niño,12,undirected
Cerv_EV_rufian,Quin_EV_borracho,9,undirected
Cerv_EV_rufian,Vel_EV_atarantados,14,undirected
Cerv_EV_rufian,Vel_EV_burla,3,undirected
Dub_EV_romances_R,Av_EV_mortero,26,undirected
Dub_EV_romances_R,Cerv_EP_cueva,4,undirected
Dub_EV_romances_R,Cerv_EV_eleccion,2,undirected
Dub_EV_romances_R,Quin_EV_borracho,10,undirected
Dub_EV_romances_R,Quin_EV_sacristanes,6,undirected
Dub_EV_romances_R,Vel_EV_atarantados,12,undirected
Hurt_EV_getafe,Cerv_EV_eleccion,10,undirected
Hurt_EV_getafe,Hurt_EV_miser1,47,undirected
Hurt_EV_getafe,Hurt_EV_miser2,38,undirected
Hurt_EV_getafe,Quev_EP_vieja,1,undirected
Hurt_EV_miser1,Cast_EV_barbador,20,undirected
Hurt_EV_miser1,Cast_EV_comisario,25,undirected
Hurt_EV_miser1,Cerv_EV_rufian,8,undirected
Hurt_EV_miser1,Hurt_EV_getafe,47,undirected
Hurt_EV_miser1,Hurt_EV_miser2,55,undirected
Hurt_EV_miser1,Quev_EV_marido,11,undirected
Hurt_EV_miser1,Salas_EV_caprichoso,2,undirected
Hurt_EV_miser1,Salas_EV_comisario,28,undirected
Hurt_EV_miser2,Cast_EV_comisario,18,undirected
Hurt_EV_miser2,Hurt_EV_getafe,38,undirected
Hurt_EV_miser2,Hurt_EV_miser1,55,undirected
Hurt_EV_miser2,Quev_EP_vieja,5,undirected
Quev_EP_vieja,Av_EV_quijote,1,undirected
Quev_EP_vieja,Barr_EP_triunfo,3,undirected
Quev_EP_vieja,Belm_EV_sierra,4,undirected
Quev_EP_vieja,Cerv_EP_cueva,23,undirected
Quev_EP_vieja,Cerv_EP_retablo,6,undirected
Quev_EP_vieja,Cerv_EP_viejo,1,undirected
Quev_EP_vieja,Cerv_EP_vizcaino,20,undirected
Quev_EP_vieja,Hurt_EV_getafe,1,undirected
Quev_EP_vieja,Hurt_EV_miser2,5,undirected
Quev_EP_vieja,Quev_EV_marido,15,undirected
Quev_EP_vieja,Quev_EV_niño,31,undirected
Quev_EP_vieja,Quin_EV_barbero,5,undirected
Quev_EP_vieja,Quin_EV_borracho,3,undirected
Quev_EP_vieja,Vel_EV_antonia,1,undirected
Quev_EP_vieja,Vel_EV_burla,2,undirected
Quev_EV_marido,Belm_EV_rana,20,undirected
Quev_EV_marido,Cerv_EP_juez,19,undirected
Quev_EV_marido,Cerv_EP_retablo,2,undirected
Quev_EV_marido,Cerv_EP_viejo,2,undirected
Quev_EV_marido,Cerv_EV_eleccion,7,undirected
Quev_EV_marido,Hurt_EV_miser1,11,undirected
Quev_EV_marido,Quev_EP_vieja,15,undirected
Quev_EV_marido,Quev_EV_niño,4,undirected
Quev_EV_marido,Quin_EV_sacristanes,1,undirected
Quev_EV_marido,Vel_EV_antonia,6,undirected
Quev_EV_niño,Belm_EV_rana,4,undirected
Quev_EV_niño,Cast_EV_comisario,35,undirected
Quev_EV_niño,Cerv_EP_retablo,3,undirected
Quev_EV_niño,Cerv_EV_rufian,12,undirected
Quev_EV_niño,Quev_EP_vieja,31,undirected
Quev_EV_niño,Quev_EV_marido,4,undirected
Quev_EV_niño,Quin_EV_barbero,4,undirected
Quev_EV_niño,Quin_EV_borracho,8,undirected
Quev_EV_niño,Quin_EV_sacristanes,8,undirected
Quev_EV_niño,Salas_EP_mirones,1,undirected
Quev_EV_niño,Vel_EV_antonia,18,undirected
Quin_EV_barbero,Cast_EV_barbador,1,undirected
Quin_EV_barbero,Quev_EP_vieja,5,undirected
Quin_EV_barbero,Quev_EV_niño,4,undirected
Quin_EV_barbero,Quin_EV_borracho,26,undirected
Quin_EV_barbero,Quin_EV_sacristanes,41,undirected
Quin_EV_borracho,Cerv_EP_guarda,1,undirected
Quin_EV_borracho,Cerv_EV_rufian,9,undirected
Quin_EV_borracho,Dub_EV_romances_R,10,undirected
Quin_EV_borracho,Quev_EP_vieja,3,undirected
Quin_EV_borracho,Quev_EV_niño,8,undirected
Quin_EV_borracho,Quin_EV_barbero,26,undirected
Quin_EV_borracho,Quin_EV_sacristanes,58,undirected
Quin_EV_borracho,Quin_EV_ventero,3,undirected
Quin_EV_borracho,Vel_EV_antonia,13,undirected
Quin_EV_borracho,Vel_EV_atarantados,9,undirected
Quin_EV_borracho,Vel_EV_burla,3,undirected
Quin_EV_sacristanes,Belm_EV_sierra,2,undirected
Quin_EV_sacristanes,Cast_EV_barbador,1,undirected
Quin_EV_sacristanes,Cerv_EP_cueva,4,undirected
Quin_EV_sacristanes,Dub_EV_romances_R,6,undirected
Quin_EV_sacristanes,Quev_EV_marido,1,undirected
Quin_EV_sacristanes,Quev_EV_niño,8,undirected
Quin_EV_sacristanes,Quin_EV_barbero,41,undirected
Quin_EV_sacristanes,Quin_EV_borracho,58,undirected
Quin_EV_sacristanes,Quin_EV_ventero,30,undirected
Quin_EV_sacristanes,Vel_EV_atarantados,47,undirected
Quin_EV_ventero,Av_EV_mortero,14,undirected
Quin_EV_ventero,Belm_EV_rana,13,undirected
Quin_EV_ventero,Belm_EV_sierra,11,undirected
Quin_EV_ventero,Quin_EV_borracho,3,undirected
Quin_EV_ventero,Quin_EV_sacristanes,30,undirected
Quin_EV_ventero,Salas_EV_caprichoso,1,undirected
Quin_EV_ventero,Vel_EV_antonia,18,undirected
Quin_EV_ventero,Vel_EV_atarantados,25,undirected
Salas_EP_buscaoficios,Av_EV_quijote,11,undirected
Salas_EP_buscaoficios,Belm_EV_sierra,5,undirected
Salas_EP_buscaoficios,Cerv_EP_cueva,2,undirected
Salas_EP_buscaoficios,Cerv_EP_guarda,21,undirected
Salas_EP_buscaoficios,Cerv_EP_juez,12,undirected
Salas_EP_buscaoficios,Cerv_EP_retablo,4,undirected
Salas_EP_buscaoficios,Salas_EP_mirones,49,undirected
Salas_EP_buscaoficios,Salas_EV_caprichoso,12,undirected
Salas_EP_buscaoficios,Salas_EV_comisario,9,undirected
Salas_EP_mirones,Belm_EV_sierra,19,undirected
Salas_EP_mirones,Cerv_EP_juez,22,undirected
Salas_EP_mirones,Cerv_EP_retablo,6,undirected
Salas_EP_mirones,Quev_EV_niño,1,undirected
Salas_EP_mirones,Salas_EP_buscaoficios,49,undirected
Salas_EP_mirones,Salas_EV_caprichoso,3,undirected
Salas_EV_caprichoso,Av_EV_mortero,8,undirected
Salas_EV_caprichoso,Av_EV_quijote,10,undirected
Salas_EV_caprichoso,Belm_EV_sierra,8,undirected
Salas_EV_caprichoso,Cast_EV_barbador,3,undirected
Salas_EV_caprichoso,Cerv_EP_guarda,1,undirected
Salas_EV_caprichoso,Hurt_EV_miser1,2,undirected
Salas_EV_caprichoso,Quin_EV_ventero,1,undirected
Salas_EV_caprichoso,Salas_EP_buscaoficios,12,undirected
Salas_EV_caprichoso,Salas_EP_mirones,3,undirected
Salas_EV_caprichoso,Salas_EV_comisario,60,undirected
Salas_EV_caprichoso,Vel_EV_burla,3,undirected
Salas_EV_comisario,Cerv_EP_cueva,1,undirected
Salas_EV_comisario,Hurt_EV_miser1,28,undirected
Salas_EV_comisario,Salas_EP_buscaoficios,9,undirected
Salas_EV_comisario,Salas_EV_caprichoso,60,undirected
Vel_EV_antonia,Cerv_EV_eleccion,2,undirected
Vel_EV_antonia,Quev_EP_vieja,1,undirected
Vel_EV_antonia,Quev_EV_marido,6,undirected
Vel_EV_antonia,Quev_EV_niño,18,undirected
Vel_EV_antonia,Quin_EV_borracho,13,undirected
Vel_EV_antonia,Quin_EV_ventero,18,undirected
Vel_EV_antonia,Vel_EV_atarantados,2,undirected
Vel_EV_atarantados,Cerv_EP_cueva,2,undirected
Vel_EV_atarantados,Cerv_EV_eleccion,1,undirected
Vel_EV_atarantados,Cerv_EV_rufian,14,undirected
Vel_EV_atarantados,Dub_EV_romances_R,12,undirected
Vel_EV_atarantados,Quin_EV_borracho,9,undirected
Vel_EV_atarantados,Quin_EV_sacristanes,47,undirected
Vel_EV_atarantados,Quin_EV_ventero,25,undirected
Vel_EV_atarantados,Vel_EV_antonia,2,undirected
Vel_EV_atarantados,Vel_EV_burla,6,undirected
Vel_EV_burla,Belm_EV_sierra,5,undirected
Vel_EV_burla,Cast_EV_barbador,16,undirected
Vel_EV_burla,Cerv_EP_retablo,5,undirected
Vel_EV_burla,Cerv_EV_eleccion,22,undirected
Vel_EV_burla,Cerv_EV_rufian,3,undirected
Vel_EV_burla,Quev_EP_vieja,2,undirected
Vel_EV_burla,Quin_EV_borracho,3,undirected
Vel_EV_burla,Salas_EV_caprichoso,3,undirected
Vel_EV_burla,Vel_EV_atarantados,6,undirected
